Nh1,Nh2,Nh3,dropout_prob_1,dropout_prob_2,dropout_prob_3,activation_function,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss,train_time
32,16,256,0.35,0.0,0.0,ReLU(),0.001,0.001,10,10,2.0248370170593257,2.0348141193389893,0.04886833588282268
16,16,256,0.5,0.5,0.35,ReLU(),0.0001,0.0,25,100,3.3468661308288574,4.160738468170166,0.2540319307645162
256,256,256,0.35,0.15,0.15,Tanh(),0.01,0.0,25,1000,1.175360918045044,1.0177408456802368,1.4079874602953593
32,128,128,0.35,0.5,0.0,Tanh(),0.1,0.001,50,100,2.665714979171753,2.3433208465576167,0.1300962209701538
128,32,32,0.35,0.15,0.5,ReLU(),0.1,0.1,5,1000,24.849300384521484,4.135449409484863,3.3600212963422136
128,32,256,0.5,0.0,0.35,ReLU(),0.0001,0.0,50,1000,0.573286235332489,0.802821159362793,2.2184083588918053
16,256,128,0.15,0.15,0.0,Tanh(),0.0001,0.001,5,10,2.442218065261841,2.33082127571106,0.10559680223464966
32,256,64,0.35,0.35,0.15,Tanh(),0.001,1e-05,10,10,1.3700218200683594,1.1570173501968384,0.07944228887557983
32,16,64,0.0,0.5,0.35,ReLU(),0.0001,0.001,10,1000,0.8373891711235046,1.3853135108947754,2.9650019137064616
16,32,16,0.35,0.0,0.35,Tanh(),0.001,1e-05,25,1000,0.7504075169563293,0.39398136734962463,1.1482704329490665
16,32,16,0.35,0.15,0.0,ReLU(),0.0001,0.0,25,10,6.422767639160156,7.5299439430236825,0.0673348315556844
16,256,64,0.35,0.5,0.0,Tanh(),0.1,1e-05,40,200,3.222573757171631,3.051119327545166,0.23379053036371866
8,64,8,0.5,0.5,0.5,ReLU(),0.1,0.0,40,100,3.7596778869628906,3.788012981414795,0.11415712356567383
8,256,8,0.15,0.0,0.5,ReLU(),0.005,1e-05,50,400,1.727651834487915,2.2340352535247803,0.46340351581573486
64,64,8,0.5,0.0,0.0,ReLU(),0.005,0.0,40,300,0.48480096459388733,1.1946626901626587,0.3521179167429606
64,64,8,0.35,0.35,0.35,Tanh(),0.001,0.0001,30,100,2.6294689178466797,2.2105331420898438,0.2054472875595093
32,64,32,0.35,0.0,0.5,Tanh(),0.0001,5e-05,50,100,1.8825790882110596,1.4027026891708374,1.5331313872337342
32,32,16,0.15,0.35,0.15,Tanh(),0.001,0.0001,40,300,0.762745201587677,0.414923757314682,0.8055713748931884
64,64,16,0.0,0.35,0.15,Tanh(),0.005,5e-05,30,200,0.6915656924247742,0.45877593755722046,0.5416695499420167
16,32,16,0.15,0.0,0.0,ReLU(),0.001,1e-05,50,300,0.40724605321884155,0.9382621049880981,0.5138578136761983
8,32,8,0.0,0.15,0.0,Tanh(),0.001,1e-05,20,400,1.3885141611099243,1.6932878494262695,1.1188820910453796
16,32,32,0.35,0.5,0.5,ReLU(),0.001,1e-05,50,100,2.315430164337158,2.3473637104034424,0.3940185832977295
64,64,16,0.15,0.15,0.5,Tanh(),0.0001,0.0001,40,300,1.7151836156845093,0.9236108660697937,3.0696078284581505
32,32,8,0.0,0.15,0.15,Tanh(),0.0005,1e-05,30,200,2.391793727874756,2.211843967437744,0.3542639422416687
16,256,64,0.5,0.5,0.35,Tanh(),0.005,1e-05,20,300,0.900981068611145,0.5746405124664307,0.9631197786331176
64,256,8,0.5,0.35,0.35,Tanh(),0.0001,5e-05,40,100,3.1979758739471436,2.441653251647949,1.0508169945081076
32,128,32,0.5,0.5,0.0,Tanh(),0.001,0.0001,50,300,0.46171411871910095,0.3888206481933594,0.7218307606379191
