number,value,datetime_start,datetime_complete,duration,params_N_latent,params_Nh1,params_Nh2,params_Nh3,params_ch1,params_ch2,params_ch3,params_ch4,params_ks1,params_ks2,params_ks3,params_ks4,params_lr,params_ncl,params_nll,params_p1,params_p2,params_p3,params_padding1,params_padding2,params_padding3,params_padding4,params_patience,params_prune_every,params_pruning_amount1,params_pruning_amount2,params_pruning_amount3,params_pruning_amount4,params_stride1,params_stride2,params_stride3,params_stride4,params_train_batch_size,params_weight_decay,state
23,,2021-01-18 22:15:32.991193,2021-01-18 22:18:36.368757,0 days 00:03:03.377564,6.0,253.0,84.0,,4.0,13.0,,,4.0,3.0,,,0.09961616439771814,2.0,2.0,0.623134285997187,0.08876435551960095,,2.0,1.0,,,4.0,1.0,0.05000127225789572,0.45352386905600334,0.0011308509163682687,0.26805579907602306,3.0,3.0,,,65.0,2.9524026846438347e-06,PRUNED
24,0.2114067708907723,2021-01-18 22:18:36.390694,2021-01-18 22:28:33.979853,0 days 00:09:57.589159,5.0,110.0,,,4.0,16.0,,,5.0,4.0,,,0.04863633356964625,2.0,1.0,0.026925153320657647,,,2.0,2.0,,,7.0,3.0,0.1352446807440792,0.41498285205524527,0.021259474200713106,0.3344886132374781,3.0,3.0,,,343.0,3.639267199675339e-05,COMPLETE
25,,2021-01-18 22:28:34.014675,2021-01-18 22:32:46.845853,0 days 00:04:12.831178,5.0,102.0,90.0,,5.0,15.0,,,4.0,4.0,,,0.052312129770762356,2.0,2.0,0.005610553722311226,0.33243179258080907,,2.0,2.0,,,6.0,3.0,0.1295162236147271,0.3912348810856773,0.000870098737196387,0.38055872999849916,3.0,3.0,,,349.0,4.6033302547233846e-05,PRUNED
26,0.2128853068490227,2021-01-18 22:32:46.868815,2021-01-18 22:48:18.681483,0 days 00:15:31.812668,4.0,68.0,,,4.0,13.0,,,5.0,4.0,,,0.013965193767522005,2.0,1.0,0.0625604006851131,,,2.0,2.0,,,7.0,3.0,0.1810707338532317,0.301568269365175,0.0963761459721737,0.2654230087460212,3.0,3.0,,,170.0,0.00029407779944683063,COMPLETE
27,0.20656869692244134,2021-01-18 22:48:18.717115,2021-01-18 23:16:53.027533,0 days 00:28:34.310418,3.0,69.0,36.0,,5.0,13.0,,,4.0,4.0,,,0.004829018106897219,2.0,2.0,0.059764434646517935,0.10544170524584733,,2.0,2.0,,,8.0,3.0,0.2031268638647009,0.31393987708406035,0.17509043091430176,0.2682704554909344,3.0,3.0,,,170.0,0.00015630626184870018,COMPLETE
28,,2021-01-18 23:16:53.061935,2021-01-18 23:31:31.305769,0 days 00:14:38.243834,1.0,105.0,33.0,,5.0,11.0,,,4.0,4.0,,,0.0005936862201304686,2.0,2.0,0.045937209368890855,0.12440795982898208,,2.0,2.0,,,8.0,3.0,0.22894890431636358,0.2261355595379682,0.17338323443725978,0.20956218319576508,3.0,3.0,,,115.0,5.5116782993859385e-05,PRUNED
29,,2021-01-18 23:31:31.330498,2021-01-18 23:40:40.154815,0 days 00:09:08.824317,2.0,67.0,48.0,,6.0,13.0,,,4.0,5.0,,,0.004981387795885772,2.0,2.0,0.17158890374252075,0.23980713389998515,,2.0,2.0,,,8.0,4.0,0.1535921057437755,0.3202135656769887,0.1942247367077235,0.41371120493516916,3.0,3.0,,,201.0,0.00035430673414986116,PRUNED
30,,2021-01-18 23:40:40.179556,2021-01-18 23:58:45.619242,0 days 00:18:05.439686,3.0,194.0,81.0,,5.0,15.0,5.0,,4.0,3.0,2.0,,0.003344860001097424,3.0,2.0,0.00032973189487216226,0.1391654603996862,,1.0,1.0,1.0,,9.0,3.0,0.25900430967839044,0.39486581199284254,0.15557899487736743,0.2548165285695946,3.0,3.0,2.0,,155.0,4.0234995302501225e-05,PRUNED
31,0.21707243100921314,2021-01-18 23:58:45.642504,2021-01-19 00:16:36.949019,0 days 00:17:51.306515,3.0,64.0,35.0,,4.0,11.0,,,5.0,4.0,,,0.010122666998486553,2.0,2.0,0.06545579641619581,0.2702269271266497,,2.0,2.0,,,7.0,4.0,0.17401340327910392,0.2972997214710409,0.10820183660335592,0.26003334661972266,3.0,3.0,,,173.0,0.00024347902335126448,COMPLETE
32,,2021-01-19 00:16:36.981874,2021-01-19 00:25:11.174337,0 days 00:08:34.192463,6.0,84.0,,,4.0,13.0,,,6.0,4.0,,,0.0013115126142970795,2.0,1.0,0.04607184365259283,,,3.0,2.0,,,7.0,3.0,0.22471671852942876,0.21338781537826385,0.026967987041074004,0.3362512243160792,3.0,3.0,,,166.0,0.0010476340351321962,PRUNED
